Indicator,Group,Subgroup,Time Period Label,Time Period Start Date,Time Period End Date,Value
"Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,5.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,6.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.9
"Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.1
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,With disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.1
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,Without disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,California,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,15.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,13.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,14.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,5.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,6.4
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.0
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,6.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,14.7
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,6.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,4.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,27.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,13.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,41.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,13.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,15.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,27.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,With disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,47.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,Without disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,33.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,27.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,18 - 29 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,30 - 39 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,14.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,40 - 49 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,50 - 59 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,60 - 69 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,5.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,70 - 79 years,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,2.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,80 years and above,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,2.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,Male,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,Female,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,3.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,4.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Less than a high school diploma,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,High school diploma or GED,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Some college/Associate's degree,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Bachelor's degree or higher,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,With disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,Without disability,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,5.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,13.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.6
